SCS-wB2GP-PLYP,SCS-wB2GP-PLYP,,,,
SCS-wB88PP86,SCS-wB88PP86,,,,
SCS-wPBEPP86,SCS-wPBEPP86,,,,
SOS-B2GP-PLYP21,SOS-B2GP-PLYP21,,,,
SOS-PBE-QIDH,SOS-PBE-QIDH,,,,
SOS-RSX-QIDH,SOS-RSX-QIDH,,,,
SOS-wB2GP-PLYP,SOS-wB2GP-PLYP,,,,
SOS-wB88PP86,SOS-wB88PP86,,,,
SOS-wPBEPP86,SOS-wPBEPP86,,,,
wB97X-2,wB97X-2,,,,
